602  ìœè¨ñq                                                     2020ï‚ê≥    -7
202110 1 0 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 1 020  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 1 040  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 1 1 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 1 120  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 1 140  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 1 2 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 1 220  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 1 240  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 1 3 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 1 320  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 1 340  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 1 4 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 1 420  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 1 440  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 1 5 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 1 520  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 1 540  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 1 6 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 1 620  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 1 640  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 1 7 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 1 720  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 1 740  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 1 8 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 1 820  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 1 840  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 1 9 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 1 920  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 1 940  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 110 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 11020  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 11040  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 111 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 11120  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 11140  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 112 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 11220  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 11240  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 113 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 11320  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 11340  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 114 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 11420  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 11440  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 115 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 11520  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 11540  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
202110 116 0  9999  9999 99.99 999.9 99.99 999.9 99.99 999.9 99.99 999.9  9999
