AREA,ValidTimeUTC,SGFHGT,SGFPER
NPHAS_KAS,2021-10-06 00:00:00,0.8,4.0
NPHAS_KAS,2021-10-06 03:00:00,1.1,4.0
NPHAS_KAS,2021-10-06 06:00:00,1.2,8.0
NPHAS_KAS,2021-10-06 09:00:00,1.4,8.0
NPHAS_KAS,2021-10-06 12:00:00,1.5,8.0
NPHAS_KAS,2021-10-06 15:00:00,1.6,8.0
NPHAS_KAS,2021-10-06 18:00:00,1.5,8.0
NPHAS_KAS,2021-10-06 21:00:00,1.5,8.0
NPHAS_KAS,2021-10-07 00:00:00,1.4,8.0
NPHAS_KAS,2021-10-07 03:00:00,1.4,8.0
NPHAS_KAS,2021-10-07 06:00:00,1.3,8.0
NPHAS_KAS,2021-10-07 09:00:00,1.3,8.0
NPHAS_KAS,2021-10-07 12:00:00,1.3,8.0
NPHAS_KAS,2021-10-07 15:00:00,1.3,8.0
NPHAS_KAS,2021-10-07 18:00:00,1.3,8.0
NPHAS_KAS,2021-10-07 21:00:00,1.2,9.0
NPHAS_KAS,2021-10-08 00:00:00,1.2,9.0
NPHAS_KAS,2021-10-08 03:00:00,1.1,9.0
NPHAS_KAS,2021-10-08 06:00:00,1.0,9.0
NPHAS_KAS,2021-10-08 09:00:00,1.0,9.0
NPHAS_KAS,2021-10-08 12:00:00,1.0,9.0
NPHAS_KAS,2021-10-08 15:00:00,0.9,10.0
NPHAS_KAS,2021-10-08 18:00:00,0.9,10.0
NPHAS_KAS,2021-10-08 21:00:00,0.4,9.0
NPHAS_KAS,2021-10-09 00:00:00,0.7,9.0
NPHAS_KAS,2021-10-09 03:00:00,0.9,3.0
NPHAS_KAS,2021-10-09 06:00:00,1.1,3.0
NPHAS_KAS,2021-10-09 09:00:00,1.4,4.0
NPHAS_KAS,2021-10-09 12:00:00,1.4,4.0
NPHAS_KAS,2021-10-09 15:00:00,1.2,3.0
NPHAS_KAS,2021-10-09 18:00:00,1.1,3.0
NPHAS_KAS,2021-10-09 21:00:00,1.0,3.0
NPHAS_KAS,2021-10-10 00:00:00,0.8,5.0
NPHAS_KAS,2021-10-10 03:00:00,0.7,6.0
NPHAS_KAS,2021-10-10 06:00:00,0.7,6.0
NPHAS_KAS,2021-10-10 09:00:00,0.6,6.0
NPHAS_KAS,2021-10-10 12:00:00,0.6,6.0
NPHAS_KAS,2021-10-10 15:00:00,0.6,6.0
NPHAS_KAS,2021-10-10 18:00:00,0.6,7.0
NPHAS_KAS,2021-10-10 21:00:00,0.6,8.0
NPHAS_KAS,2021-10-11 00:00:00,0.7,8.0
NPHAS_KAS,2021-10-11 03:00:00,0.8,8.0
NPHAS_KAS,2021-10-11 06:00:00,0.8,9.0
NPHAS_KAS,2021-10-11 09:00:00,0.8,9.0
NPHAS_KAS,2021-10-11 12:00:00,0.8,9.0
NPHAS_KAS,2021-10-11 15:00:00,0.8,9.0
NPHAS_KAS,2021-10-11 18:00:00,0.8,9.0
NPHAS_KAS,2021-10-11 21:00:00,0.8,9.0
NPHAS_KAS,2021-10-12 00:00:00,0.8,9.0
NPHAS_KAS,2021-10-12 03:00:00,1.3,9.0
NPHAS_KAS,2021-10-12 06:00:00,1.4,4.0
NPHAS_KAS,2021-10-12 09:00:00,1.5,4.0
NPHAS_KAS,2021-10-12 12:00:00,1.5,4.0
NPHAS_KAS,2021-10-12 15:00:00,1.7,4.0
NPHAS_KAS,2021-10-12 18:00:00,1.8,4.0
NPHAS_KAS,2021-10-12 21:00:00,1.8,4.0
NPHAS_KAS,2021-10-13 00:00:00,2.0,4.0
NPHAS_KAS,2021-10-13 03:00:00,2.0,4.0
NPHAS_KAS,2021-10-13 06:00:00,1.9,4.0
NPHAS_KAS,2021-10-13 09:00:00,2.0,4.0
NPHAS_KAS,2021-10-13 12:00:00,1.9,4.0
NPHAS_KAS,2021-10-13 15:00:00,1.8,4.0
NPHAS_KAS,2021-10-13 18:00:00,1.8,4.0
NPHAS_KAS,2021-10-13 21:00:00,1.8,4.0
NPHAS_KAS,2021-10-14 00:00:00,1.8,4.0
NPHAS_KAS,2021-10-14 03:00:00,1.8,4.0
NPHAS_KAS,2021-10-14 06:00:00,1.8,4.0
NPHAS_KAS,2021-10-14 09:00:00,1.8,9.0
NPHAS_KAS,2021-10-14 12:00:00,1.7,10.0
