AREA,ValidTimeUTC,SGFHGT,SGFPER
NPHAS_RUM,2021-10-18 00:00:00,2.0,7.0
NPHAS_RUM,2021-10-18 03:00:00,1.8,7.0
NPHAS_RUM,2021-10-18 06:00:00,1.6,7.0
NPHAS_RUM,2021-10-18 09:00:00,1.3,6.0
NPHAS_RUM,2021-10-18 12:00:00,1.0,6.0
NPHAS_RUM,2021-10-18 15:00:00,0.8,6.0
NPHAS_RUM,2021-10-18 18:00:00,0.6,6.0
NPHAS_RUM,2021-10-18 21:00:00,0.5,2.0
NPHAS_RUM,2021-10-19 00:00:00,0.4,2.0
NPHAS_RUM,2021-10-19 03:00:00,0.5,2.0
NPHAS_RUM,2021-10-19 06:00:00,0.6,2.0
NPHAS_RUM,2021-10-19 09:00:00,0.8,7.0
NPHAS_RUM,2021-10-19 12:00:00,0.8,7.0
NPHAS_RUM,2021-10-19 15:00:00,0.6,7.0
NPHAS_RUM,2021-10-19 18:00:00,0.9,7.0
NPHAS_RUM,2021-10-19 21:00:00,1.2,7.0
NPHAS_RUM,2021-10-20 00:00:00,1.9,7.0
NPHAS_RUM,2021-10-20 03:00:00,2.4,7.0
NPHAS_RUM,2021-10-20 06:00:00,2.7,7.0
NPHAS_RUM,2021-10-20 09:00:00,2.9,7.0
NPHAS_RUM,2021-10-20 12:00:00,3.1,8.0
NPHAS_RUM,2021-10-20 15:00:00,3.4,8.0
NPHAS_RUM,2021-10-20 18:00:00,3.8,7.0
NPHAS_RUM,2021-10-20 21:00:00,3.1,6.0
NPHAS_RUM,2021-10-21 00:00:00,3.4,6.0
NPHAS_RUM,2021-10-21 03:00:00,2.9,6.0
NPHAS_RUM,2021-10-21 06:00:00,2.1,5.0
NPHAS_RUM,2021-10-21 09:00:00,1.1,6.0
NPHAS_RUM,2021-10-21 12:00:00,0.8,5.0
NPHAS_RUM,2021-10-21 15:00:00,0.6,5.0
NPHAS_RUM,2021-10-21 18:00:00,0.5,5.0
NPHAS_RUM,2021-10-21 21:00:00,0.8,3.0
NPHAS_RUM,2021-10-22 00:00:00,1.3,4.0
NPHAS_RUM,2021-10-22 03:00:00,2.0,5.0
NPHAS_RUM,2021-10-22 06:00:00,1.9,5.0
NPHAS_RUM,2021-10-22 09:00:00,1.9,4.0
NPHAS_RUM,2021-10-22 12:00:00,1.4,5.0
NPHAS_RUM,2021-10-22 15:00:00,1.5,5.0
NPHAS_RUM,2021-10-22 18:00:00,1.8,5.0
NPHAS_RUM,2021-10-22 21:00:00,1.8,5.0
NPHAS_RUM,2021-10-23 00:00:00,2.0,5.0
NPHAS_RUM,2021-10-23 03:00:00,2.0,4.0
NPHAS_RUM,2021-10-23 06:00:00,1.7,4.0
NPHAS_RUM,2021-10-23 09:00:00,1.5,4.0
NPHAS_RUM,2021-10-23 12:00:00,1.1,5.0
NPHAS_RUM,2021-10-23 15:00:00,1.2,5.0
NPHAS_RUM,2021-10-23 18:00:00,1.3,5.0
NPHAS_RUM,2021-10-23 21:00:00,1.5,6.0
NPHAS_RUM,2021-10-24 00:00:00,1.6,6.0
NPHAS_RUM,2021-10-24 03:00:00,1.9,6.0
NPHAS_RUM,2021-10-24 06:00:00,2.1,6.0
NPHAS_RUM,2021-10-24 09:00:00,2.0,6.0
NPHAS_RUM,2021-10-24 12:00:00,2.2,6.0
NPHAS_RUM,2021-10-24 15:00:00,1.8,6.0
NPHAS_RUM,2021-10-24 18:00:00,1.6,6.0
NPHAS_RUM,2021-10-24 21:00:00,1.4,6.0
NPHAS_RUM,2021-10-25 00:00:00,1.2,4.0
NPHAS_RUM,2021-10-25 03:00:00,0.9,6.0
NPHAS_RUM,2021-10-25 06:00:00,0.7,6.0
NPHAS_RUM,2021-10-25 09:00:00,0.6,6.0
NPHAS_RUM,2021-10-25 12:00:00,0.6,6.0
NPHAS_RUM,2021-10-25 15:00:00,0.5,6.0
NPHAS_RUM,2021-10-25 18:00:00,0.4,6.0
NPHAS_RUM,2021-10-25 21:00:00,0.4,6.0
NPHAS_RUM,2021-10-26 00:00:00,0.4,6.0
NPHAS_RUM,2021-10-26 03:00:00,0.3,6.0
NPHAS_RUM,2021-10-26 06:00:00,0.3,6.0
NPHAS_RUM,2021-10-26 09:00:00,0.3,5.0
NPHAS_RUM,2021-10-26 12:00:00,0.3,2.0
